fecha,Agro_TC,Servicios_TC,Industria_Ampliada_TC,President,Party,Term,Label
2004-06-30,3.672929956997306,4.678353227321308,4.529532760109145,Abel Pacheco,PUSC,2002–2006,Pacheco
2004-09-30,2.7709162829978817,4.335598499910076,5.167316829539215,Abel Pacheco,PUSC,2002–2006,Pacheco
2004-12-31,1.6760198617106203,4.012083386302412,4.568821799487832,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-03-31,1.724067665601381,3.913398537394408,3.5758780976231863,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-06-30,2.6132234677596067,4.2158352389840115,3.0285220560675397,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-09-30,2.831579065985834,4.515902145620743,3.519611433411929,Abel Pacheco,PUSC,2002–2006,Pacheco
2005-12-31,4.371913143403994,4.960077118753414,3.992396855632041,Abel Pacheco,PUSC,2002–2006,Pacheco
2006-03-31,6.463829987163683,5.64116807311521,4.427335923293718,Abel Pacheco,PUSC,2002–2006,Pacheco
2006-06-30,7.251675197653951,6.389166882628272,5.610398467105515,Óscar Arias Sánchez,PLN,2006–2010,Arias
2006-09-30,8.523908530764523,7.154371735389087,6.982154353830294,Óscar Arias Sánchez,PLN,2006–2010,Arias
2006-12-31,10.733056258427954,7.679526566638151,8.275054395367153,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-03-31,9.917185309489751,8.011044132621103,8.89504722316623,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-06-30,6.304982133579773,8.055231392904005,8.31375683351605,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-09-30,2.6966139822432122,7.8884156804357675,6.518786021765033,Óscar Arias Sánchez,PLN,2006–2010,Arias
2007-12-31,-0.10436892643149731,7.81099182966043,4.9484888428583895,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-03-31,-1.931987890010678,7.778338416954433,4.136363657141562,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-06-30,-2.3075292453117346,7.395347192806079,2.3082808732853843,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-09-30,-2.495718694880711,6.538625780254148,-0.317873482354758,Óscar Arias Sánchez,PLN,2006–2010,Arias
2008-12-31,-5.951544146928267,5.020769286944748,-3.619703164817656,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-03-31,-8.070648339148534,3.129017874909934,-6.456982420103663,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-06-30,-6.601558914041183,2.3331942637381475,-6.1952963661789155,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-09-30,-2.8953005114259467,2.5933469388512043,-3.7751770335481383,Óscar Arias Sánchez,PLN,2006–2010,Arias
2009-12-31,3.9653353717814976,3.6341839867218617,-0.5053343936457955,Óscar Arias Sánchez,PLN,2006–2010,Arias
2010-03-31,9.299518415890184,5.16335035981208,2.5378427106442336,Óscar Arias Sánchez,PLN,2006–2010,Arias
2010-06-30,9.387891114109959,6.052271588151137,3.2257983315800765,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2010-09-30,6.397650470179861,6.205696411031081,2.537971894827229,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2010-12-31,1.1941170703577475,5.849498328035296,1.6962702562190124,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-03-31,-1.0140506665775484,5.407902296028055,1.596499237981952,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-06-30,0.19529369183248768,5.004705584687019,2.470083995122807,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-09-30,0.0784740023145547,4.646499272863247,3.20945345024517,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2011-12-31,1.738259449425228,4.825238801016618,4.7052985261270885,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-03-31,3.33194988371992,5.186637250784365,5.435547584518252,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-06-30,2.9452412150703156,5.304694944248167,3.9507400440547125,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-09-30,4.329124062088274,5.50743337897186,2.4241833568989124,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2012-12-31,4.845637043410345,5.4225047106875035,0.35276916029367555,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-03-31,0.7291887585596069,4.910495139782611,-2.405149486586744,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-06-30,-1.1928031447194343,4.61994945813633,-3.2492185267985585,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-09-30,1.1392417058014415,4.598341181971888,-2.920841054807277,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2013-12-31,3.666508694204773,4.7669902956593235,-2.5303471522886367,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2014-03-31,5.79609196984423,4.873517408213268,-1.0923704451237026,Laura Chinchilla Miranda,PLN,2010–2014,Chinchilla
2014-06-30,5.222554874865959,4.697827156342038,0.03853540287246382,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2014-09-30,0.8297690918440459,4.317904780390669,0.9097973485996169,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2014-12-31,-3.5414585979906876,4.046919957593276,1.5528930698967436,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-03-31,-4.163200601283434,4.14543296115879,1.302431678312188,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-06-30,-3.2662206856906573,4.532621501858003,1.8303075889076315,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-09-30,-2.3831217755264644,4.85108734484474,1.66056075224017,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2015-12-31,0.5360489467564067,4.778592667571724,1.0630921976587215,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2016-03-31,3.59419960594618,4.605463958376266,1.7056828684261394,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2016-06-30,4.113550683757183,4.3138078318780915,1.7351350979138092,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2016-09-30,4.779153139702652,4.023277792601698,2.3905671034448073,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2016-12-31,4.700521323338114,3.974584440916429,3.8843206206430336,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2017-03-31,4.018778292255676,4.1906900267134395,4.130318215574169,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2017-06-30,5.155693725079713,4.891612433161074,4.0054797047999635,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2017-09-30,5.590521517522262,5.514320614769042,3.492119670585203,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2017-12-31,4.406389289972457,5.521639248967336,2.3070621439803762,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2018-03-31,5.495336048636124,4.914190226849602,1.802711090141762,Luis Guillermo Solís Rivera,PAC,2014–2018,Solís
2018-06-30,5.170324744967902,3.613958946635565,1.7665401979466644,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2018-09-30,2.7851785746316526,2.0164665009339,0.9943847666900929,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2018-12-31,1.045806133532201,1.1526540414948494,0.05475237018248702,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2019-03-31,-2.061513935213888,3.0897189139155623,-0.5017401563412571,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2019-06-30,-2.997524048027289,3.4312708530714664,-0.8856597880157024,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2019-09-30,-0.9256841868849786,3.704651465669717,-0.354173140625913,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2019-12-31,0.9858691446584578,3.4396777029916725,1.8865839918119631,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2020-03-31,-0.0019344906342033674,-0.6622171240178165,4.4486695230306905,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2020-06-30,-1.6471264031129085,-7.813903912644216,-2.5491164571843195,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2020-09-30,-3.1665653109100855,-7.589075316274474,1.1940949824325697,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2020-12-31,-3.0528561019215084,-5.0839240477773,4.474116619917767,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2021-03-31,0.8562271402899446,-0.9843714852459051,6.20153036595581,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2021-06-30,4.554992240597544,7.331642274637162,17.469897867255767,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2021-09-30,4.098668061212307,9.649669313091213,14.9116598200282,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2021-12-31,1.1134846893731787,8.52815052302487,9.846207280029585,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2022-03-31,-3.2324561588107925,6.622675498090302,5.079523620722637,Carlos Alvarado Quesada,PAC,2018–2022,Alvarado
2022-06-30,-5.622901632539223,6.51612328121256,1.8243626126014822,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2022-09-30,-2.2876868453382326,5.165636255876627,1.3156041704152077,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2022-12-31,1.7785081833263439,4.617096338935611,3.3053394914859036,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2023-03-31,3.8716486242637904,4.385153768619876,6.573819888065735,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2023-06-30,4.5332563304495865,4.106286176942753,8.41176586619643,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2023-09-30,3.0758210603996528,3.944730277404096,7.881868968347172,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2023-12-31,2.9042859503200846,4.042339633549363,6.3057728073096175,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2024-03-31,3.9260116800223344,4.386704768435679,4.484540915353508,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2024-06-30,3.6172501333349816,4.589644725041642,3.674824240345087,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2024-09-30,2.6150676760548386,4.377914808343641,4.034514607699835,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2024-12-31,-0.5072827338584829,4.0517720547462055,5.244511686076203,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2025-03-31,-2.9272081521733884,3.861514364987517,6.628197245594869,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2025-06-30,-2.595915826040196,3.8537388496477254,8.166166596813461,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
2025-09-30,-1.9180727537494002,4.147239184633933,9.365624780074056,Rodrigo Chaves Robles,PPSD,2022–2026,Chaves
