fecha,PIB_Agricultura_Silvicultura_Pesca_TC,PIB_Minas_Canteras_TC,PIB_Manufactura_TC,PIB_Electricidad_Agua_Saneamiento_TC,PIB_Construccion_TC,PIB_Comercio_TC,PIB_Transporte_Almacenamiento_TC,PIB_Hoteles_Restaurantes_TC,PIB_Informacion_Comunicaciones_TC,PIB_Financieras_Seguros_TC,PIB_Inmobiliario_TC,PIB_Actividades_Profesionales_TC,PIB_Administracion_Publica_TC,PIB_Ense_Salud_Asistencia_Social_TC,PIB_Otras_Actividades_TC,President,Party,Term,Label
1994-12-31,7.401291231374296,2.5155882133888863,2.6722008140938946,7.946938568588258,12.15837766867125,1.4745670736558303,-3.735364464102353,1.366791623123409,12.305278868874225,0.7901639349642942,13.518013957873197,8.780236789679584,2.5256780347634455,4.437455018887171,-1.098973639963996,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-03-31,9.41122835510344,0.3864044589884319,3.858152684342264,7.189978011172027,12.336443893826132,1.7439291197290707,-4.536575843192347,1.0815373107291304,15.889861027165209,-0.036254664515322776,13.112319250711945,7.005559317863086,1.5152370389372338,4.449432779487639,-1.9022878333928572,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-06-30,9.073888277557884,-2.7102274170196172,1.6502389359514202,3.958308401134314,9.33020577979853,0.6268361513350529,-4.6893761254393596,0.994437798740333,15.567991315589392,1.1269391919875194,12.656979066517193,5.610590880048338,0.5724507585843641,4.331549618137065,-2.2205446507796545,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-09-30,6.742859698500658,-6.600822610490598,0.8451643730198244,2.0691639719997434,3.8699919727244403,-0.7042486994265462,-4.75479494684079,1.1328499429084093,11.859805662879698,4.436468783249259,12.26421399144806,4.901759176983211,-0.04605488241223865,4.081455943949264,-2.169707462329029,José María Figueres Olsen,PLN,1994–1998,Olsen
1995-12-31,4.830269625802552,-8.538675038932508,1.745747011592469,2.3506300096576282,-4.123254752534622,-2.5840452095264643,-4.6371733848938,1.5105543313236103,6.416499293552014,8.196913162479014,11.918123483723608,4.936284365967669,-0.29254997904457625,3.7547966171172176,-1.6630750509611936,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-03-31,1.3386217858394112,-8.132378478176127,-0.5380708982076543,2.3638526053421094,-12.014643853647444,-4.873832958825252,-5.214647996791677,2.0240356655340186,2.599594901442237,10.773018232007825,11.571238999446232,5.521064490975935,-0.2851090429807135,3.4313140812650245,-0.6587226615250574,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-06-30,1.4643035930523407,-6.177877599983739,-1.3324525700587064,3.9095967762552197,-16.187674046146082,-5.400219466318202,-5.934647037854768,2.2690531494330424,1.0457928718349496,11.04168214281318,11.470416013126194,6.245229340292169,-0.2656067606148227,3.209349404265738,-0.09627073310913836,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-09-30,4.3602560793166045,-3.3243997754634713,0.5753683660072673,5.0495376887915056,-16.220508448616776,-3.7026108083801135,-5.614154658024095,2.00351216266923,2.613353170969268,7.484633927728224,11.6499713314677,6.84579423215026,-0.38962126508201855,3.170925429878091,0.054573898827081635,José María Figueres Olsen,PLN,1994–1998,Olsen
1996-12-31,4.191499033592638,0.2463264032974477,2.01445627389647,4.756207695036929,-12.700560502344448,-1.5592171327399318,-4.306717884686129,1.1258297278768037,6.7830386913045215,4.3363744820128725,12.122948496143259,7.045295629609538,-0.6855254214994111,3.355306883602216,-0.34315711330402676,José María Figueres Olsen,PLN,1994–1998,Olsen
1997-03-31,5.550402148939204,5.697925267209536,4.856050591132499,4.929941834015494,-6.304319104117095,0.5983188646937032,-2.203937679947643,0.17445087935916703,10.028105054492165,3.4476317296650905,12.8241630377806,6.783387852354483,-1.0860380567869643,3.707927632975938,-1.384469773098329,José María Figueres Olsen,PLN,1994–1998,Olsen
